z_level_mm,grid_name,x_cmd_mm,y_cmd_mm,z_cmd_mm,floor_height_cmd_mm,is_reference_pose,reachable_ik,target_safe,path_safe,move_attempted,move_ok,reason,robot_x_mm,robot_y_mm,robot_z_mm,robot_phi_deg,overhead_visible,overhead_used_for_homography,overhead_u_raw_px,overhead_v_raw_px,overhead_u_used_px,overhead_v_used_px,overhead_theta_deg,overhead_samples,stereo_visible,stereo_x_mm,stereo_y_mm,stereo_z_mm,stereo_left_u_px,stereo_left_v_px,stereo_right_u_px,stereo_right_v_px,stereo_disparity_px,stereo_theta_deg,stereo_samples
0.0,z0_x300_y490,300.0,490.0,0.0,120.0,False,True,True,True,True,True,valid overhead,299.98470617623855,489.9924068437318,0.0,0.05114856600005169,True,True,621.05078125,400.37909545898435,621.0044677734375,400.37737426757815,160.12365581113508,10,True,-136.99575208870007,85.00632837701033,-427.49543009939947,166.23605624112216,346.7939564098011,108.94382407448508,343.222187389027,57.29223216663707,73.32844858943949,11
0.0,z0_x320_y490,320.0,490.0,0.0,120.0,False,True,True,True,True,True,valid overhead,319.9947934579656,490.02117325784025,0.0,-0.03560647125003413,True,True,620.263671875,377.8962799072266,620.2078674316406,377.88201293945315,162.50582454319158,10,True,-155.82211324920888,85.80398130579093,-427.1315422814093,146.81514892578124,346.7384765625,91.73670196533203,342.81952514648435,55.07844696044922,76.39502852505247,10
0.0,z0_x340_y490,340.0,490.0,0.0,120.0,False,True,True,True,True,True,valid overhead,340.0256715989586,489.9817685629068,0.0,-0.11536150150011792,True,True,619.48642578125,352.7602508544922,619.4120239257812,352.71698303222655,164.96960267571464,10,True,-175.18033639279219,86.72807443625767,-427.7747105613582,127.88290176391601,346.46124572753905,75.21880493164062,342.28955078125,52.66409683227539,79.63710887953953,10
0.0,z0_x360_y490,360.0,490.0,0.0,120.0,False,True,True,True,True,True,valid overhead,359.9998259764215,489.9739239311622,0.0,0.043905984500042905,True,True,618.5678955078125,327.5766235351563,618.4653076171875,327.48924865722654,167.33500465520686,10,True,-190.5954425775492,87.64158219985718,-429.18319526775446,113.69139353434245,346.3364562988281,63.00283940633138,341.7134501139323,50.68855412801107,81.29345416398222,3
0.0,z0_x380_y490,380.0,490.0,0.0,120.0,False,True,True,True,True,True,valid overhead,380.01132402853773,490.02348016327613,0.0,-0.02184903175002262,True,True,617.9591430664062,302.8227905273437,617.8206420898438,302.6798065185547,169.73861385015888,10,False,,,,,,,,,,1
0.0,z0_x100_y510,100.0,510.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,100.01169367248997,509.9799440091255,0.0,0.07869809850006959,False,False,,,,,,1,True,52.32895548846996,94.3098461034975,-418.45804770381096,381.33274658203123,362.33215087890625,311.87729736328123,363.25188598632815,69.45544921875,45.13284014751328,25
0.0,z0_x120_y510,120.0,510.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,120.00854761637464,510.02052360060384,0.0,0.07594314525005075,False,False,,,,,,0,True,39.54544264398227,96.03473218219455,-416.33508602903953,366.63753098707934,365.20034672663763,296.72095313439,365.55750450721155,69.9165778526893,47.14155427802669,26
0.0,z0_x140_y510,140.0,510.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,139.97705721397665,509.99378326878343,0.0,0.05918817800005627,False,False,,,,,,0,True,20.332218322722245,96.65600029780725,-416.2358349719541,343.9862072284405,366.3174544114333,274.1053783710186,365.8948282095102,69.88082885742188,49.82477197990603,26
0.0,z0_x160_y510,160.0,510.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,159.97994731720513,509.98441328477765,0.0,0.02143318975002728,False,False,,,,,,0,True,0.5742740876520631,97.65809838415657,-418.34962183608457,320.56259272648737,367.05396446814905,251.44171377328726,365.94011746920074,69.12087895320012,52.43772605672666,26
0.0,z0_x180_y510,180.0,510.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,179.99598425555806,510.0060047023534,0.0,-0.030321812500034184,False,False,,,,,,0,True,-19.269952881554197,98.9683083511086,-419.5564406654449,297.21255258413464,367.9046501746544,229.06697669396033,366.62907057542066,68.14557589017429,55.26983094576562,26
