run_timestamp,folder,datetime,date,script,place_scene,sequence_index,object_i,class_name,detection_class,detection_confidence,detection_bbox_x1,detection_bbox_y1,detection_bbox_x2,detection_bbox_y2,pick_x_mm,pick_y_mm,pick_z_mm,pick_grasp_z_mm,grasp_offset_mm,pick_phi_deg,place_x_mm,place_y_mm,place_phi_deg,destination_surface_z_mm,place_result,raw_size_x_mm,raw_size_y_mm,raw_size_z_mm,placed_box_label,watchdog_flags
20260531_164143,run_20260531_164143,2026-05-31T16:41:43,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,13,9,Pringles,Pringles,0.85009765625,307.5,28.625,381.0,173.875,233.54611362842223,227.45275169549797,99.67574609314244,229.67574609314244,130.0,45.41690704829597,,,,,pending,,,,,
20260531_165144,run_20260531_165144,2026-05-31T16:51:44,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,0,1,Pringles,Pringles,0.98681640625,432.75,92.125,530.5,208.25,105.87593223651119,106.00787719932615,54.56978826498649,184.5697882649865,130.0,5.789226705082768,140.24950956831736,732.9158156746114,0.0,-155.0,placed,65.49901913663473,50.831631349222775,99.04494747492441,object1_placed,
20260531_165144,run_20260531_165144,2026-05-31T16:51:44,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,1,2,Bandaid,Bandaid,0.9580078125,338.5,38.1875,463.25,128.75,279.42713342212414,90.70713814556075,-10.009847971039239,119.99015202896076,130.0,132.93755319922045,247.19022448744914,748.4456967436782,0.0,-155.0,placed,130.61955097489832,81.89139348735651,38.57922411867506,object2_placed,
20260531_165144,run_20260531_165144,2026-05-31T16:51:44,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,2,3,Lays Chips,Lays Chips,0.97314453125,370.0,131.125,573.0,237.875,92.18401793278986,126.03564942923238,5.338366041006097,135.3383660410061,130.0,148.09075561527828,247.19022448744914,748.4456967436782,0.0,-116.42077588132496,placed,173.6633462380808,106.3556109909579,39.531325166633735,,
20260531_165144,run_20260531_165144,2026-05-31T16:51:44,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,3,4,Chex Mix,Chex Mix,0.97314453125,165.0,109.1875,338.25,257.5,247.2019549368856,339.4412918983595,-21.727901665351737,115.6035088524533,137.331,21.26058708640187,247.19022448744914,748.4456967436782,0.0,-76.88945071469122,placed,136.2976085624418,107.24552191052265,19.137589765465435,,
20260531_165144,run_20260531_165144,2026-05-31T16:51:44,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,4,5,Dove Deodorant,Dove Deodorant,0.98095703125,233.25,219.125,370.5,332.5,106.9314657447642,354.0647264188453,-31.127440406675248,98.87255959332475,130.0,2.6034561104947613,247.19022448744914,748.4456967436782,0.0,-57.75186094922579,placed,118.34756590714807,51.97094027824576,15.898604907376537,,
20260531_165144,run_20260531_165144,2026-05-31T16:51:44,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,5,6,Burts Bees,Burts Bees,0.98193359375,139.75,248.625,239.625,340.0,157.80774135149323,457.42088242413286,-40.60764183393201,89.392358166068,130.0,35.325365069720846,247.19022448744914,748.4456967436782,0.0,-41.85325604184925,placed,79.21192947913866,63.719465852204934,18.32492307755689,,
20260531_165144,run_20260531_165144,2026-05-31T16:51:44,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,6,7,Carmex Lip Balm,Carmex Lip Balm,0.83349609375,363.5,107.5,460.0,180.875,193.24731664367147,140.41184632054205,-24.53633595771627,105.46366404228374,130.0,11.264757968997742,,,,,pending,,,,,
20260531_165144,run_20260531_165144,2026-05-31T16:51:44,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,7,7,Pringles,Pringles,0.658203125,247.75,143.625,362.25,287.75,147.5553396654721,318.73277934850597,27.896071458451367,157.89607145845136,130.0,41.93261325549889,,,,,pending,,,,,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,0,1,Pringles,Pringles,0.9931640625,454.0,101.375,556.0,218.25,79.23299991036475,90.58514471050691,54.85056825488533,184.85056825488533,130.0,4.2344299570734165,139.37815009120163,734.5640749729623,0.0,-155.0,placed,63.75630018240329,54.12814994592469,97.61345355445211,object1_placed,WD-7
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,1,2,Chex Mix,Chex Mix,0.97802734375,174.625,185.25,360.0,316.25,145.7492080375149,367.2559775232172,-23.068487666159626,106.93151233384037,130.0,146.57155366932474,236.31867817305235,757.1873106900979,0.0,-155.0,placed,160.1247563461047,99.3746213801958,20.74174254406472,object2_placed,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,2,3,Dove Deodorant,Dove Deodorant,0.97802734375,325.75,116.125,440.5,179.125,209.30663901021717,174.33682466875078,-29.63768218777331,100.36231781222669,130.0,172.77044151592335,236.31867817305235,757.1873106900979,0.0,-134.25825745593528,placed,119.74720078927321,48.62861769547309,15.721473144457885,,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,3,1,Lays Chips,Lays Chips,0.95263671875,275.0,43.5,444.0,153.5,270.02114151927606,163.72539144275706,7.961138127557381,137.96113812755738,130.0,134.85197576082555,182.70035605169372,755.4255967630296,0.0,-155.0,placed,160.40071210338743,105.85119352605929,37.07722319662351,object1_placed,WD-7
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,4,2,Bandaid,Bandaid,0.95654296875,450.75,97.125,591.5,249.0,48.91879274638076,114.43223991808074,84.55355229983451,214.5535522998345,130.0,5.763216503085005,182.70035605169372,755.4255967630296,0.0,-155.0,placed,86.21218503629774,41.98806388585287,116.26760668907664,object2_placed,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,5,3,Chex Mix,Chex Mix,0.98046875,250.25,144.75,402.5,297.75,150.79595877693566,286.1351528527232,-15.53155385919699,114.46844614080301,130.0,41.67505227800845,182.70035605169372,755.4255967630296,0.0,-38.73239331092336,placed,127.53277494313664,103.05874823801858,23.319349972256475,,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,6,4,Dove Deodorant,Dove Deodorant,0.97900390625,405.75,110.4375,488.25,196.875,153.07763642919102,102.71653706601676,-35.74332694640839,94.25667305359161,130.0,20.383915097775002,182.70035605169372,755.4255967630296,0.0,-15.413043338666881,miss,116.36762390831998,52.91449753652148,17.14655702562439,,WD-7
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,7,5,Burts Bees,Burts Bees,0.955078125,352.0,97.0625,430.0,144.5,256.8906794047241,128.16522474025135,-38.05403478736214,91.94596521263786,130.0,173.0077590981546,281.68367794846176,732.6682543514696,180.0,1.733513686957508,placed,80.33650870293931,61.632643896923504,17.66948226103304,,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,8,6,Carmex Lip Balm,Carmex Lip Balm,0.9404296875,241.0,176.875,357.75,278.75,163.5221944494197,325.5143914204608,-29.02783981310785,100.97216018689215,130.0,11.946684601639873,281.68367794846176,732.6682543514696,0.0,19.402995947990547,placed,97.97406249613326,64.77437260235129,10.541660127712493,,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,9,1,Chex Mix,Chex Mix,0.9833984375,307.5,75.625,458.25,203.125,214.53406992318074,156.0786936861275,-13.798785207543636,116.20121479245637,130.0,93.43032188170936,175.06928280318428,753.5773924250179,0.0,-155.0,miss,131.20838278838164,97.239329956787,25.043444152194073,,WD-7
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,10,2,Bandaid,Bandaid,0.94287109375,252.25,116.5625,384.5,253.875,194.10804441593453,278.55330771890834,-9.793123535883826,120.20687646411618,130.0,84.62205517632557,265.49765250710516,751.4409886652128,180.0,-155.0,placed,127.8819773304256,89.64835701421032,30.78335592362448,object2_placed,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,11,3,Pringles,Pringles,0.98583984375,429.5,125.375,533.0,244.5,65.45579993746283,141.8015058159307,55.485334357949455,185.48533435794945,130.0,175.86573539749878,265.49765250710516,751.4409886652128,0.0,-124.21664407637553,placed,62.280565230015185,55.80761487237625,96.95444583348748,,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,12,4,Dove Deodorant,Dove Deodorant,0.982421875,91.5,182.75,220.75,291.5,241.70713229917348,460.2100766239737,-37.37080849005687,92.62919150994313,130.0,101.90900778922703,265.49765250710516,751.4409886652128,0.0,-27.262198242888047,placed,124.24499570320029,52.36109284776104,14.86809575031105,,WD-7
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,13,5,Lays Chips,Lays Chips,0.9541015625,294.5,62.90625,468.25,158.0,245.90477098554544,162.50324996001444,21.16625567331339,151.1662556733134,130.0,158.00384027635522,175.06928280318428,753.5773924250179,0.0,-129.95655584780593,placed,163.549132250201,107.42905007269297,54.567151502688006,,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,14,6,Burts Bees,Burts Bees,0.962890625,219.5,165.0,315.0,236.875,225.1917778871076,334.25705965077105,-40.6123262586064,89.3876737413936,130.0,1.0419701741868437,265.49765250710516,751.4409886652128,0.0,-12.394102492576998,placed,80.82527697775296,60.28682517536673,16.630407642964464,,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,15,7,Carmex Lip Balm,Carmex Lip Balm,0.90380859375,354.5,79.8125,455.5,140.625,239.8237524127551,112.46947426559939,-24.272027217769303,105.7279727822307,130.0,119.94559428347156,265.49765250710516,751.4409886652128,0.0,4.236305150387466,placed,101.56712468780324,50.63735665038317,13.676633369535384,,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,16,1,Lays Chips,Lays Chips,0.97705078125,364.75,115.625,525.0,275.25,91.3591538487903,162.36937190860715,-3.264804928051251,126.73519507194875,130.0,45.725897042406245,166.9705749704235,756.3358253063907,0.0,-155.0,placed,148.94114994084705,127.67165061278132,23.77028102336945,object1_placed,WD-7
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,17,2,Chex Mix,Chex Mix,0.9873046875,46.5,127.0625,203.5,249.5,316.92202509993683,460.32008412943594,-19.7006091111002,110.29939088889981,130.0,0.43853268109302235,166.9705749704235,756.3358253063907,0.0,-155.0,placed,134.6192827006492,96.10831039784094,33.535586372037805,object2_placed,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,18,3,Bandaid,Bandaid,0.947265625,263.0,61.1875,319.25,215.25,240.22689807521468,289.12101858550864,41.37084400294633,171.37084400294634,130.0,45.21452178451602,166.9705749704235,756.3358253063907,0.0,-121.46441362796219,placed,117.48339721088477,43.15947498009177,86.09529931665153,,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,19,4,Pringles,Pringles,0.98974609375,170.375,187.125,248.875,323.5,163.97642273194793,426.9351637516787,3.8168932186885143,133.8168932186885,130.0,49.077266260578796,166.9705749704235,756.3358253063907,0.0,-35.36911431131065,placed,107.46638594031535,60.97983668026096,31.817137907143756,,WD-7
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,20,5,Dove Deodorant,Dove Deodorant,0.9833984375,255.0,248.375,397.5,339.0,76.13641973297227,344.02957467426006,-33.94612004412275,96.05387995587725,130.0,167.95750723092436,166.9705749704235,756.3358253063907,0.0,-3.5519764041668953,placed,117.3323114772029,50.942269014048634,12.913621505295481,,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,21,6,Burts Bees,Burts Bees,0.9755859375,375.0,66.375,450.0,125.0,268.11109124913423,71.85778838498905,-40.486356652001305,89.5136433479987,130.0,128.69976968346117,276.7138171257361,732.238107825175,0.0,9.361645101128586,placed,81.5723662514722,49.476215650350014,16.98623084066746,,
